English	 Tiếng anh
Fuck	    Địt
Cunt	    Looz
Dog	     Chó
Shit	    Cức
Dick	    Lâm Nguy
Intense	 Gắt
Short	   Ngắn
a	   Một
A	   Một
Alter	   Thay đổi
Alternative	 thay thế
At	  ở
Add	 thêm vào
Application	 ứng dụng
Applicable	  Có thể ứng dụng được
Appetite	    khẩu vị
Attention	   sự chú ý
Attend	  tham gia
Accurate	   chính xác
Accuracy	   Sự chính xác
Act	 hành động
Asshole	 thằng chó
Ass	 nát
Awful	   tệ
Action	  hành động
Subpar	  Kém
Accumilate	  tích lũy
Many	    Nhiều
Little	  ít
Light	   nhẹ/ánh sáng
Lit	 đốt
Link	    dẫn
Bird	    chim
Leap	    lá
Lean	    giựa vào
Lead	    dẫn đến
Lend	    cho mượn
Loop	    lặp
Leaf	    lá
Leave	   bỏ/ra đi
Leak	    rò rỉ
Like	    thích
Lie	 nói dối
Life	    cuộc sống
live	    sống
Lives	   những cuộc sống
Lack	    thiếu hụt
Learn	   học
Lamp	    đèn
Line	    đường kẻ
Lime	    chanh
Linear	  một chiều
Love	    yêu
Last	    cuối cùng
Late	    muộn
Later	   sau
Latter	  sau cùng
Lag	 lag
Log	 khúc gỗ
Lake	    hồ
Cinematography	  quay phim
Cinematics	  hoành tráng
Cinema	  rạp phim
Cynical	 giễu cợt
Cult	    hội thánh
Classic	 kinh điển
Colossal	    cực lớn
Coward	  hèn nhát
Collision	   xung đột
Collapse	    xụp đổ
Color	   màu
Co-Worker	 đồng nghiệp
